callSign	frequency	type	city	state	name	longitude	latitude
KFXM-LP	98.3	FM	LANCASTER	CA	THE ORGANIZATION FOR THE PRESERVATION & CULTIVATION OF RADIO	-118.17119	34.82747
WILU-LP	106.5	FM	SOUTHAVEN	MS	SOUTH HAVEN CHURCH OF CHRIST	-89.97731	34.93203
W241CY	96.1	FM	NORWICH	CT	HALL COMMUNICATIONS, INC.	-72.07647	41.55289
K281BR	104.1	FM	HOLLISTER	CA	RADIO BILINGUE, INC.	-121.4005	36.86717
W276BV	103.1	FM	NEW ROCHELLE	NY	SUN SIGNALS LLC	-73.78153	40.91233
W220AG	91.9	FM	LAWRENCEVILLE, ETC.	NJ	BUX-MONT EDUCATIONAL RADIO ASSOCIATION	-74.68597	40.28286
K211DR	90.1	FM	VICTORIA	TX	CENTRO CRISTIANO DE VIDA ETERNA	-97.06583	28.81694
W207BF	89.3	FM	GOSHEN	IN	OLIVET NAZARENE UNIVERSITY	-85.85167	41.55811
K248AP	97.5	FM	SILVERTHORNE	CO	KRAYON'S WILD BASIN, LLC	-106.06778	39.61386
W258AE	99.5	FM	FLORENCE	AL	WAY-FM MEDIA , INC.	-87.69614	34.81897
KLHM-LP	100.7	FM	ST. JOSEPH	MO	LIGHTHOUSE RADIO MINISTRY, INC.	-94.84053	39.75
W251AR	98.1	FM	GOSHEN	IN	IB COMMUNICATIONS, LTD	-85.92806	41.60117
K219DX	91.7	FM	LEADVILLE	CO	COMMUNITY RADIO FOR NORTHERN COLORADO	-106.30031	39.23472
W255BG	98.9	FM	GREENSBURG	IN	THE TRUSTEES OF INDIANA UNIVERSITY	-85.48747	39.31506
W275AW	102.9	FM	DANVILLE	VA	EDUCATIONAL INFORMATION CORPORATION	-79.38614	36.54403
K298AY	107.5	FM	WHEATLAND	WY	UNIVERSITY OF WYOMING	-104.96747	42.04356
W284BZ	104.7	FM	AMSTERDAM	NY	ROSER COMMUNICATIONS NETWORK, INC.	-74.21733	42.91061
KELS-LP	104.7	FM	GREELEY	CO	PLYMOUTH GATHERING INC.	-104.73692	40.38469
W241AZ	96.1	FM	CLARKS SUMMIT	PA	THE SCRANTON TIMES, L.P.	-75.68628	41.467
K256BQ	99.1	FM	BRANSON	MO	CSN INTERNATIONAL	-93.2585	36.56256
KMAC-LP	92.5	FM	MUSCATINE	IA	MUSCATINE SEVENTH-DAY ADVENTIST CHURCH	-91.06933	41.44153
W245CC	96.9	FM	TRENTON	NJ	WYRS BROADCASTING	-74.686	40.28289
KSJH-LP	102.3	FM	HART	TX	ST. JOHN NEPOMUCENE PARISH RADIO COMMITTEE	-102.01519	34.52803
WASB-LP	96.5	FM	STANLEY-BOYD-CADOTT	WI	ALL SAINTS CATHOLIC PARISH	-91.03569	44.94994
KOLH-LP	105.9	FM	HERMISTON	OR	HERMISTON CATHOLIC RADIO	-119.25181	45.83511
WKBR-LP	102.3	FM	TOWN OF HIGHLANDS	NY	CATHOLIC KOLPING SOCIETY NEW YORK	-73.73783	41.33233
W221CQ	92.1	FM	NAUGATUCK, ETC.	CT	DANBURY COMMUNITY RADIO, INC.	-73.04258	41.49592
W211BT	90.1	FM	ATHENS	OH	SPIRIT COMMUNICATIONS, INC.	-82.11953	39.31122
KBHQ-LP	100.7	FM	HARRISON	AR	NORTH ARKANSAS PERFORMING ARTISTS COALITION	-93.12464	36.24086
WXRV-FM5	92.5	FM	BOSTON	MA	BEANPOT LICENSE CORP.	-71.07478	42.34928
KLJE-LP	107.5	FM	COLUMBIA	MO	COLUMBIA CHINESE CHRISTIAN CHURCH	-92.32158	38.94364
K224AO	92.7	FM	WEED,ETC.	CA	PACIFIC CASCADE COMMUNICATIONS CORPORATION	-122.40694	41.42486
KRNU	90.3	FM	LINCOLN	NE	UNIVERSITY OF NEBRASKA	-96.70336	40.81972
K255AM	98.9	FM	MONTICELLO	AR	PINES BROADCASTING, INC.	-91.78733	33.60453
W217AQ	91.3	FM	MERIDIAN	MS	CSN INTERNATIONAL	-88.69061	32.32931
W244BF	96.7	FM	NIMITZ	WV	GRACE MISSIONARY BAPTIST CHURCH	-80.96231	37.64622
W209BA	89.7	FM	KENDALLVILLE	IN	STAR EDUCATIONAL MEDIA NETWORK, INC.	-85.25219	41.39867
KBCU	88.1	FM	NORTH NEWTON	KS	BETHEL COLLEGE	-97.34336	38.07389
W203BD	88.5	FM	DECATUR	IL	EDUCATIONAL MEDIA FOUNDATION	-88.99203	39.80975
WJGG-LP	98.1	FM	THOMASVILLE	GA	CALVARY CHAPEL OF THOMASVILLE	-83.94433	30.86267
W233AO	94.5	FM	SALEM	IN	GOOD SHEPHERD RADIO, INC	-86.15581	38.60811
K237DA	95.3	FM	TOM'S PLACE	CA	MONO COUNTY SERVICE AREA NO. 1	-118.68067	37.56881
K241AS	96.1	FM	WHALE PASS	AK	NARROWS BROADCASTING CORPORATION	-133.12197	56.11186
K206AZ	89.1	FM	LEADVILLE	CO	EDUCATIONAL MEDIA FOUNDATION	-106.30031	39.23472
W233BC	94.5	FM	ASHLAND	PA	FOUR RIVERS COMMUNITY BROADCASTING CORP.	-76.35411	40.77342
KRFL-LP	107.9	FM	FULTON	MO	REVELATION FOR LIVING BROADCASTING, INC.	-91.95044	38.84142
KYYR-LP	97.9	FM	YAKIMA	WA	CALVARY CHAPEL YAKIMA VALLEY	-120.56089	46.60625
K227BU	93.3	FM	DOUGLAS	WY	DOUGLAS BROADCASTING, INC.	-105.40247	42.7605
W238BD	95.5	FM	TITUSVILLE	PA	FAMILY LIFE MINISTRIES, INC.	-79.67058	41.62728
W234BT	94.7	FM	ENDICOTT	NY	MONTROSE BROADCASTING CORPORATION	-76.06075	42.11533
W207CB	89.3	FM	RALEIGH	NC	PENFOLD COMMUNICATIONS, INC.	-78.67889	35.78931
WPLC-LP	95.1	FM	PIQUA	OH	PIQUA CHRISTIAN LIFESTYLE RADIO	-84.18872	40.11783
WXND-LP	100.9	FM	LOUISVILLE	KY	XTENDSOUND, INC	-85.71833	38.25056
W299BA	107.7	FM	PORT JERVIS	NY	DIGITAL RADIO BROADCASTING, INC.	-74.67764	41.36369
W288BK	105.5	FM	ROCHESTER HILLS	MI	EDUCATIONAL MEDIA FOUNDATION	-83.12439	42.67864
KXYM-LP	98.9	FM	BELCOURT	ND	TWO HEARTS RADIO	-99.75569	48.84083
KYEJ-LP	90.1	FM	FAIRMONT	MN	FAIRMONT AREA CATHOLIC RADIO	-94.53339	43.64714
KSOG-LP	104.3	FM	ALICE	TX	ABUNDANT LIFE CHRISTIAN CENTER ALICE	-98.06553	27.77303
K279AL	103.7	FM	BATON ROUGE	LA	CSN INTERNATIONAL	-91.079	30.42769
WHDX	99.9	FM	WAVES	NC	RADIO HATTERAS, INC.	-75.46847	35.571
KQRP-LP	92.9	FM	MALAKOFF	TX	CEDAR CREEK EDUCATIONAL BROADCASTING CORPORATION	-96.01686	32.2255
KCMA-LP	92.1	FM	PAYSON	AZ	PAYSON CLASSICAL MUSIC ASSOCIATION, INC.	-111.34706	34.22975
WIPZ-LP	101.5	FM	KENOSHA	WI	BD OF REGENTS, UNIV OF WISC. SYST. ON BEHALF OF UW-PARKSIDE	-87.85536	42.64697
KPUV-LP	100.3	FM	VENTURA	CA	PROJECT UNDERSTANDING	-119.29919	34.3015
KEJC-LP	104.1	FM	DALLAS	TX	TEMPLO DE DIOS, ORG. 2	-96.81111	32.75067
W248CB	97.5	FM	AUGUSTA	ME	BIBLE BROADCASTING NETWORK, INC.	-69.7645	44.32811
W278CJ	103.5	FM	MANCHESTER	NH	ABSOLUTE BROADCASTING, LLC	-71.50444	43.01083
K274BO	102.7	FM	KACHEMAK CITY	AK	TURQUOISE BROADCASTING COMPANY, LLC	-151.41128	59.6005
WJEV-LP	97.7	FM	DALE CITY	VA	MINISTERIO DE VIDA	-77.34236	38.64836
WGZO-LP	98.7	FM	BLOOMFIELD	CT	CONNECTICUT VALLEY HISPANIC OUTREACH	-72.66397	41.84392
WEPL-LP	97.1	FM	ROCHESTER	NY	IBERO AMERICAN	-77.61811	43.17531
W249AL	97.7	FM	PULASKI	VA	BIBLE BROADCASTING NETWORK, INC.	-80.74617	37.02428
W261CI	100.1	FM	ESCANABA	MI	GOSPEL OPPORTUNITIES, INC.	-87.05428	45.7455
K228DM	93.5	FM	VACAVILLE	CA	YOUR CHRISTIAN COMPANION NETWORK, INC.	-122.00328	38.33683
K228DQ	93.5	FM	PORTALES	NM	CALVARY ALBUQUERQUE, INC.	-103.27967	34.19258
K220DK	91.9	FM	BUFFALO	WY	MONTANA STATE UNIVERSITY - BILLINGS	-106.72422	44.34719
WLVN-LP	97.1	FM	FORT VALLEY	GA	CALVARY CHAPEL HEARTLAND, INC.	-83.78656	32.55458
WHWS-LP	105.7	FM	GENEVA	NY	HOBART AND WILLIAM SMITH COLLEGES	-76.98883	42.85756
W218BV	91.5	FM	WAYNESBORO	MS	CSN INTERNATIONAL	-88.70392	31.68906
W287AU	105.3	FM	DEKALB	IL	EDUCATIONAL MEDIA FOUNDATION	-88.74731	41.87864
K272EF	102.3	FM	BROADUS	MT	HI-LINE RADIO FELLOWSHIP, INC.	-105.41056	45.44861
KRBY	98.1	FM	RUBY	AK	BIG RIVER PUBLIC BROADCASTING CORPORATION	-155.48244	64.73828
W247BM	97.3	FM	COOPERSTOWN	NY	WAMC	-74.89933	42.67897
KELC	91.9	FM	HAWTHORNE	NV	AMERICAN EDUCATIONAL BROADCASTING, INC.	-118.62264	38.52397
WFBR-LP	95.3	FM	MT WASHINGTON	KY	FIRST BAPTIST CHURCH MT WASHINGTON	-85.54411	38.04978
WIUK-LP	101.3	FM	IUKA	MS	FLASH CATS ANIMAL ADVOCACY	-88.19058	34.81258
KMKZ-LP	104.7	FM	LOVELAND	CO	PROTECTING AMERICA'S FUTURE	-105.06194	40.40333
KDTI	90.3	FM	ROCHESTER HILLS	MI	EDUCATIONAL MEDIA FOUNDATION	-83.12439	42.67864
KGQD-LP	102.7	FM	KERMIT	TX	KERMIT RADIO ACADEMY	-103.09875	31.85594
KSIK-LP	95.3	FM	GREELEY	CO	COLORADO PROGRESSIVE CONGREGATION	-104.71681	40.38997
W253BO	98.5	FM	COLLEGEDALE	TN	LIFETALK RADIO, INC.	-85.05633	35.05175
KLJX-LP	107.1	FM	FLAGSTAFF	AZ	NORTHERN ARIZONA UNIVERSITY	-111.65536	35.19164
W249CN	97.7	FM	GREENSBORO	NC	EASTERN AIRWAVES, LLC	-79.91253	36.05514
KSYU	98.1	FM	SAINT MARYS	AK	BIG RIVER PUBLIC BROADCASTING CORPORATION	-163.18019	62.05228
K212FD	90.3	FM	AZALEA	CA	PACIFIC CASCADE COMMUNICATIONS CORPORATION	-122.29833	41.22236
KZAX-LP	94.9	FM	BELLINGHAM	WA	MAKE SHIFT	-122.47906	48.74758
WBQR-LP	104.3	FM	BROOKFIELD	WI	BROOKFIELD CLASSICAL RADIO, INC.	-88.10458	43.09878
KVWO-LP	94.7	FM	WELCH	OK	VOICE OF WELCH COMMUNICATIONS, INC.	-95.09606	36.87506
KOUG-LP	107.5	FM	PULLMAN	WA	ST. THOMAS MORE CATHOLIC STUDENT CENTER - PULLMAN	-117.11294	46.71544
WQRT-LP	99.1	FM	INDIANAPOLIS	IN	BIG CAR MEDIA	-86.11794	39.76611
