hex,count
840ca07ffffffff,1
840d8ebffffffff,1
840d8b9ffffffff,2
840ca45ffffffff,1
840d887ffffffff,2
840ca13ffffffff,2
840d8c5ffffffff,1
840c12bffffffff,2
840ca51ffffffff,2
840d893ffffffff,2
840cac1ffffffff,2
840dab7ffffffff,1
840c169ffffffff,1
840c025ffffffff,3
840d8d1ffffffff,1
840c137ffffffff,2
840ca5dffffffff,1
840cacdffffffff,2
840c105ffffffff,2
840d8ddffffffff,1
840c143ffffffff,2
840d8abffffffff,2
840c367ffffffff,1
840c111ffffffff,2
840d8b7ffffffff,1
840c11dffffffff,2
840ca43ffffffff,1
840d885ffffffff,2
840ca11ffffffff,2
840ca81ffffffff,1
840d8c3ffffffff,1
840c129ffffffff,2
840d891ffffffff,2
840ca1dffffffff,2
840dab5ffffffff,1
840c167ffffffff,2
840ca8dffffffff,1
840c135ffffffff,2
840ca5bffffffff,2
840d89dffffffff,2
840cacbffffffff,2
840c103ffffffff,2
840c327ffffffff,2
840d8dbffffffff,1
840c141ffffffff,2
840d8a9ffffffff,2
840c365ffffffff,1
840ca03ffffffff,1
840d8e7ffffffff,1
840c14dffffffff,2
840d8b5ffffffff,1
840cae3ffffffff,1
840c11bffffffff,3
840ca41ffffffff,1
840d883ffffffff,2
844490dffffffff,1
8444911ffffffff,1
8444913ffffffff,1
8444915ffffffff,1
8444917ffffffff,1
8444939ffffffff,1
844493bffffffff,1
8444941ffffffff,2
8444945ffffffff,1
8444947ffffffff,1
844494dffffffff,2
844496bffffffff,1
84449c1ffffffff,3
84449c3ffffffff,3
84449c5ffffffff,1
84449c7ffffffff,2
84449c9ffffffff,4
84449cbffffffff,4
84449cdffffffff,4
84449d9ffffffff,3
84449ddffffffff,3
844cb65ffffffff,2
84449e9ffffffff,1
84449ebffffffff,1
844cb6dffffffff,1
84449edffffffff,1
8444aa1ffffffff,13
8444aa5ffffffff,15
8444aa9ffffffff,16
8444aadffffffff,22
8444ae3ffffffff,22
8444811ffffffff,13
8444813ffffffff,8
8444815ffffffff,9
8444817ffffffff,8
8444819ffffffff,16
844481bffffffff,14
8444b27ffffffff,2
8444831ffffffff,5
8444833ffffffff,5
8444835ffffffff,4
8444837ffffffff,4
8444839ffffffff,8
844483bffffffff,6
8444853ffffffff,23
84448e5ffffffff,5
84448e9ffffffff,6
84448edffffffff,6
8444901ffffffff,1
8444903ffffffff,1
8444905ffffffff,1
8444907ffffffff,1
844549bffffffff,6
8444601ffffffff,9
84454ddffffffff,1
844893dffffffff,16
8444643ffffffff,5
8448905ffffffff,6
844460bffffffff,12
8448947ffffffff,8
8444615ffffffff,13
8448951ffffffff,31
8444657ffffffff,14
8448919ffffffff,14
84454b9ffffffff,3
844895bffffffff,21
8448b61ffffffff,1
8445481ffffffff,1
8448923ffffffff,32
8448965ffffffff,6
8448b29ffffffff,3
8448825ffffffff,9
8448867ffffffff,4
844548bffffffff,1
844892dffffffff,11
8448b33ffffffff,6
8445495ffffffff,3
84454d7ffffffff,2
8448b3dffffffff,21
8448941ffffffff,8
8448909ffffffff,8
844894bffffffff,9
8444651ffffffff,11
8448913ffffffff,22
84454b3ffffffff,5
8444619ffffffff,17
8448955ffffffff,30
844465bffffffff,11
84454bdffffffff,2
844891dffffffff,14
8448b23ffffffff,17
8448b65ffffffff,1
8445485ffffffff,1
8448927ffffffff,36
8448969ffffffff,4
8448b2dffffffff,4
84454d1ffffffff,1
8448931ffffffff,26
8448b37ffffffff,5
8445499ffffffff,4
844893bffffffff,10
84454dbffffffff,2
8444641ffffffff,3
84454a3ffffffff,2
8448903ffffffff,14
8444609ffffffff,6
8448945ffffffff,4
844464bffffffff,4
844890dffffffff,5
8444613ffffffff,31
84456b3ffffffff,1
8444655ffffffff,9
8448917ffffffff,16
84454b7ffffffff,4
844461dffffffff,16
8448959ffffffff,15
8448921ffffffff,18
8448963ffffffff,4
8448b27ffffffff,6
8448865ffffffff,4
8445489ffffffff,1
844892bffffffff,7
844896dffffffff,4
8448b31ffffffff,20
844882dffffffff,5
8445493ffffffff,4
84454d5ffffffff,1
844463bffffffff,10
844549dffffffff,3
8444603ffffffff,12
8448907ffffffff,10
8448949ffffffff,6
8448911ffffffff,15
84454b1ffffffff,2
8444617ffffffff,16
8448953ffffffff,23
8444659ffffffff,6
844891bffffffff,22
84454bbffffffff,3
844895dffffffff,14
8448b21ffffffff,6
8445483ffffffff,3
8448925ffffffff,16
8448967ffffffff,8
8448b2bffffffff,17
8448b6dffffffff,1
8448b35ffffffff,15
8445497ffffffff,3
84454d9ffffffff,1
8448939ffffffff,17
8448901ffffffff,8
8448943ffffffff,9
8444649ffffffff,2
84454abffffffff,2
844890bffffffff,13
8444611ffffffff,19
844894dffffffff,6
8444653ffffffff,13
8448915ffffffff,25
84454b5ffffffff,2
844461bffffffff,23
8448957ffffffff,30
844465dffffffff,6
8448961ffffffff,4
8448b25ffffffff,5
8448821ffffffff,5
8448b67ffffffff,3
8445487ffffffff,2
8448929ffffffff,6
844896bffffffff,3
8445491ffffffff,4
84454d3ffffffff,4
84446cbffffffff,52
8444663ffffffff,1
8444629ffffffff,1
8445593ffffffff,1
84446e3ffffffff,21
8444635ffffffff,6
8444607ffffffff,7
84489e5ffffffff,10
8448937ffffffff,27
84446c1ffffffff,58
844464dffffffff,1
84446cdffffffff,47
84454a1ffffffff,1
84446d9ffffffff,13
844462bffffffff,4
84446e5ffffffff,16
8444637ffffffff,7
84446c3ffffffff,55
8444689ffffffff,20
8444621ffffffff,2
84446dbffffffff,16
8444667ffffffff,1
844462dffffffff,3
8444639ffffffff,8
8444645ffffffff,1
84446c5ffffffff,44
84446d1ffffffff,11
8444623ffffffff,4
84446ddffffffff,40
8444669ffffffff,1
84446e9ffffffff,29
8444681ffffffff,14
8444647ffffffff,2
844460dffffffff,2
84446c7ffffffff,46
844468dffffffff,17
8444449ffffffff,4
84454a7ffffffff,1
844466bffffffff,1
8444631ffffffff,5
844559bffffffff,1
84446ebffffffff,34
844463dffffffff,5
8448933ffffffff,8
84489edffffffff,10
84446c9ffffffff,43
84446d5ffffffff,24
8444661ffffffff,1
84446e1ffffffff,33
8444633ffffffff,6
84446edffffffff,14
8444605ffffffff,3
8448935ffffffff,34
84448b3ffffffff,5
84448d9ffffffff,13
8444abdffffffff,13
