name,longitude,latitude,population
Villa Paula de Sarmiento,-68.53838,-31.4933,19092
Villa Nueva,-63.24763,-32.43293,16841
Villa Maria,-63.24016,-32.40751,92453
Villa Dolores,-65.18958,-31.94585,28009
Villa Constitucion,-60.3297,-33.22778,44271
Villa Carlos Paz,-64.49778,-31.42414,69451
Villa Angela,-60.71526,-27.57383,43511
Villa Allende,-64.29538,-31.29458,21683
Viedma,-62.99668,-40.81345,48940
Victoria,-60.15478,-32.61841,25139
Vera,-60.21261,-29.4593,19797
Venado Tuerto,-61.96885,-33.74556,72340
Veinticinco de Mayo,-60.17271,-35.4323,24668
Ushuaia,-68.31591,-54.81084,58028
Unquillo,-64.31615,-31.23073,15369
Tres Isletas,-60.43207,-26.34067,24747
Tres Arroyos,-60.27978,-38.37394,47136
Trelew,-65.30505,-43.24895,93442
Termas de Rio Hondo,-64.85972,-27.49362,27838
Tartagal,-63.80131,-22.51637,60819
Tafi Viejo,-65.25921,-26.73201,48459
Sunchales,-61.56148,-30.94404,18757
Santo Tome,-60.7653,-31.66274,59072
Santiago del Estero,-64.26149,-27.79511,354692
Santa Rosa,-64.28333,-36.61667,111424
Santa Lucia,-68.49503,-31.53987,43565
Santa Fe,-60.70868,-31.64881,489505
San Salvador de Jujuy,-65.29712,-24.19457,305891
San Ramon de la Nueva Oran,-64.32426,-23.13705,74059
San Rafael,-68.33007,-34.61772,109163
San Pedro de Jujuy,-64.86614,-24.23127,58430
San Nicolas de los Arroyos,-60.2108,-33.33425,127742
San Miguel de Tucuman,-65.2226,-26.82414,781023
San Martin de los Andes,-71.35337,-40.15789,23519
San Martin,-68.46814,-33.08103,82549
San Luis,-66.33563,-33.29501,183982
San Justo,-60.59189,-30.78913,21809
San Juan,-68.53639,-31.5375,447048
San Jose de Jachal,-68.74693,-30.24057,21018
San Jorge,-61.85984,-31.89618,16873
San Francisco,-62.08266,-31.42797,59062
San Fernando del Valle de Catamarca,-65.78524,-28.46957,188812
San Antonio Oeste,-64.94769,-40.73193,16966
Salta,-65.41166,-24.7859,512686
Rufino,-62.71262,-34.26827,18361
Rosario,-60.63932,-32.94682,1173533
Rio Tercero,-64.11405,-32.17301,53389
Rio Segundo,-63.9099,-31.6526,18155
Rio Grande,-67.70946,-53.78769,52681
Rio Gallegos,-69.21813,-51.62261,85700
Rio Cuarto,-64.34992,-33.13067,153757
Rio Ceballos,-64.32241,-31.16486,16632
Rawson,-65.10228,-43.30016,26335
Rafaela,-61.4867,-31.25033,88713
Quitilipi,-60.21683,-26.86913,32083
Punta Alta,-62.07359,-38.87588,57209
Puerto Madryn,-65.03851,-42.7692,64555
Presidencia Roque Saenz Pena,-60.43876,-26.78522,81879
Pocito,-68.58333,-31.68333,40969
Plottier,-68.23333,-38.96667,25186
Pergamino,-60.57357,-33.88995,87652
Perez,-60.76791,-32.99835,24436
Parana,-60.52897,-31.73271,262295
Palpala,-65.21163,-24.25647,48199
Olavarria,-60.32254,-36.89272,86320
Nueve de Julio,-60.88313,-35.44437,34718
Neuquen,-68.0591,-38.95161,242092
Morteros,-61.99862,-30.71164,15129
Monteros,-65.49832,-27.16741,23771
Mendoza,-68.82717,-32.89084,876884
Marcos Juarez,-62.10672,-32.6978,24226
Machagai,-60.04955,-26.92614,28070
Lincoln,-61.5302,-34.86649,41808
Libertador General San Martin,-64.78757,-23.80644,49267
Las Brenas,-61.08161,-27.08966,26955
La Rioja,-66.85067,-29.41105,162620
La Falda,-64.48987,-31.08841,15112
La Calera,-64.33529,-31.34377,24796
Laboulaye,-63.39119,-34.12662,19908
