id,value
0d80c,16
0d814,16
0d81c,16
0d824,16
0d82c,7
0d834,16
0d83c,16
0d844,16
0d84c,16
0d854,16
0d85c,16
0d864,16
0d86c,16
0d874,16
0d87c,16
0d884,16
0d88c,16
0d894,16
0d89c,16
0d8a4,16
0d8ac,16
0d8b4,16
0d8bc,16
0d8c4,16
0d8cc,16
0d8d4,16
0d8dc,16
0d8e4,16
0d8ec,16
0d8f4,16
0d8fc,16
0d904,16
0d90c,16
0d914,16
0d91c,16
0d924,16
0d92c,16
0d934,16
0d93c,16
0d944,16
0d94c,16
0d954,16
0d95c,16
0d964,16
0d96c,16
0d974,16
0d97c,16
0d984,16
0d98c,7
0d994,16
0d99c,16
0d9a4,16
0d9ac,16
0d9b4,16
0d9bc,16
0d9c4,16
0d9cc,16
0d9d4,7
0d9dc,7
0d9e4,7
0d9ec,7
0d9f4,7
0d9fc,12
0da04,12
0da0c,12
0da14,10
0da1c,10
0da24,7
0da2c,16
0da34,10
0da3c,10
0da44,12
0da4c,7
0da54,7
0da5c,7
0da64,12
0da6c,12
0da74,12
0da7c,12
0da8c,12
0da94,12
0dac4,12
0dadc,7
0dae4,7
0daec,12
0daf4,12
0dafc,7
0db04,7
0db0c,7
0db14,7
0db1c,7
0db24,7
0db3c,7
0db44,7
0db4c,7
0db54,16
0db5c,16
0db64,16
0db6c,7
0db74,16
0db7c,16
0db84,16
0db8c,16
0db94,16
0db9c,16
0dba4,16
0dbac,7
0dbb4,16
0dbbc,16
0dbc4,16
0dbcc,16
0dbd4,16
0dbdc,16
0dbe4,16
0dbec,16
0dbf4,16
0dbfc,16
0dc04,16
0dc0c,16
0dc14,16
0dc1c,16
0dc24,16
0dc2c,16
0dc34,16
0dc3c,16
0dc44,16
0dc4c,16
0dc54,16
0dc5c,16
0dc64,16
0dc6c,16
0dc74,16
0dc7c,16
0dc84,16
0dc8c,16
0dc94,16
0dc9c,16
0dca4,16
0dcac,16
0dcb4,16
0dcbc,16
0dcc4,16
0dccc,16
0dcd4,16
0dcdc,16
0dce4,16
0dcec,16
0dcf4,16
0dcfc,16
0dd04,16
0dd0c,16
0dd14,16
0dd1c,16
0dd24,16
0dd2c,16
0dd34,16
0dd3c,16
0dd44,16
0dd4c,16
0dd54,16
0dd5c,16
0dd64,16
0dd6c,16
0dd74,16
0dd7c,16
0dd84,16
0dd8c,16
0dd94,16
0dd9c,16
0dda4,16
0ddac,16
0ddb4,16
0ddbc,16
0ddc4,16
0ddcc,16
0ddd4,16
0dddc,16
0dde4,16
0ddec,16
0ddf4,16
0ddfc,16
0de04,16
0de0c,16
0de14,16
0de1c,16
0de24,16
0de2c,16
0de34,16
0de3c,16
0de44,16
0de4c,16
0de54,16
