id,value
8402725ffffffff,16
8402727ffffffff,16
8402729ffffffff,10
840272bffffffff,16
840272dffffffff,10
8402733ffffffff,16
8402735ffffffff,16
8402737ffffffff,16
8402739ffffffff,16
840273dffffffff,16
8402741ffffffff,10
8402743ffffffff,10
8402745ffffffff,16
8402747ffffffff,16
8402749ffffffff,10
840274bffffffff,15
840274dffffffff,16
8402751ffffffff,15
8402753ffffffff,15
8402755ffffffff,16
8402757ffffffff,16
8402759ffffffff,15
840275bffffffff,15
840275dffffffff,15
8402761ffffffff,10
8402763ffffffff,10
8402767ffffffff,10
8402769ffffffff,16
840276bffffffff,10
840276dffffffff,16
8402881ffffffff,10
8402883ffffffff,10
8402885ffffffff,10
8402887ffffffff,10
8402889ffffffff,10
840288bffffffff,10
840288dffffffff,10
8402891ffffffff,10
8402893ffffffff,10
8402895ffffffff,10
8402897ffffffff,10
8402899ffffffff,10
840289bffffffff,10
840289dffffffff,10
84028a3ffffffff,10
84028a9ffffffff,10
84028abffffffff,10
84028adffffffff,10
84028b1ffffffff,10
84028b5ffffffff,10
84028b9ffffffff,10
84028bbffffffff,10
84028bdffffffff,10
84028c1ffffffff,10
84028c3ffffffff,10
84028c5ffffffff,10
84028c7ffffffff,10
84028c9ffffffff,10
84028cbffffffff,10
84028cdffffffff,10
84028d1ffffffff,10
84028d3ffffffff,10
84028d5ffffffff,10
84028d7ffffffff,10
84028d9ffffffff,10
84028dbffffffff,10
84028ddffffffff,10
84028e1ffffffff,10
84028e3ffffffff,10
84028e7ffffffff,10
84028ebffffffff,10
8402995ffffffff,10
8402997ffffffff,10
84029a1ffffffff,10
84029a3ffffffff,11
84029a5ffffffff,7
84029a7ffffffff,11
84029abffffffff,11
84029b1ffffffff,7
84029b3ffffffff,7
84029b5ffffffff,7
84029b7ffffffff,7
84029b9ffffffff,10
84029bbffffffff,10
84029bdffffffff,11
8402a89ffffffff,11
8402a99ffffffff,10
8402a9bffffffff,10
8402aa1ffffffff,10
8402aa3ffffffff,10
8402aa7ffffffff,10
8402ab1ffffffff,10
8402ab3ffffffff,10
8402ab5ffffffff,10
8402ab7ffffffff,10
8402ab9ffffffff,10
8402abdffffffff,10
8402ac1ffffffff,16
8402ac3ffffffff,16
8402ac7ffffffff,16
8402acbffffffff,16
8402ad1ffffffff,10
8402ad3ffffffff,10
8402ad5ffffffff,16
8402ad7ffffffff,10
8402ad9ffffffff,10
8402adbffffffff,10
8402addffffffff,10
8402c01ffffffff,10
8402c03ffffffff,10
8402c05ffffffff,10
