time1,time2,lon1,lat1,alt1,lon2,lat2,alt2
311,2339,174.7635,-37.0208,305,176.194,-38.9377,4877
311,2436,-122.5377,48.7929,0,-122.3179,47.459,53
313,1491,-97.03,32.9013,305,-95.0392,32.5813,1905
313,1341,113.8275,22.6093,610,114.6054,23.8572,7498
315,7258,152.2528,-27.5548,1219,153.4852,-28.1281,114
316,1033,-90.6426,38.6605,0,-91.9667,38.7765,1920
317,4421,-84.4214,33.6349,305,-76.2096,36.8845,23
317,3585,-121.4101,43.9858,2134,-122.9305,45.5523,99
320,4296,-93.2368,42.4977,610,-93.3182,42.507,640
323,2159,-71.1373,42.2161,0,-71.1539,42.2268,267
328,25799,113.9237,22.3192,0,55.3898,25.2384,0
330,2111,106.9081,30.5548,9754,105.029,27.5741,9174
333,3530,-115.1621,36.0836,610,-111.9531,40.602,2233
334,13405,-97.0505,32.9177,305,-122.3178,47.4758,137
334,5596,-110.3494,38.8209,13106,-122.3589,37.6143,-53
337,5666,-80.958,35.1621,610,-87.9052,41.9705,0
338,6083,-96.1044,41.4131,305,-96.1174,41.4173,640
338,3793,-88.1796,41.7174,305,-88.217,41.7473,366
339,8094,-95.4718,29.5685,610,-95.4962,29.8739,838
346,3789,-110.9286,30.4667,3658,-112.0086,33.4288,343
347,1827,115.9652,-31.9396,0,117.7219,-29.6352,11887
347,1829,-75.6574,38.4438,914,-76.5916,39.1093,442
347,1463,-122.2774,44.7759,2743,-122.6383,45.6016,38
347,1469,106.5374,29.7401,3048,107.8563,31.5076,8115
349,985,174.969,-40.9101,305,175.1623,-40.6284,625
349,2104,-121.8571,38.5743,-305,-122.1121,37.4581,-61
350,25797,90.7107,54.0281,10973,2.5633,49.0268,91
354,3156,-118.9357,34.3377,1219,-117.6802,33.9704,305
355,1843,-73.1134,40.7962,0,-73.1042,40.8063,91
356,1401,-74.3574,41.1212,305,-74.6426,41.538,1074
357,2122,-80.9328,35.1835,305,-83.9817,35.8184,328
