hex,home_lng,home_lat,count
8a28308f0c67fff,-122.31071,37.90485,49
8a2830973b97fff,-122.46572,37.68530,37
8a28308ac297fff,-122.25285,37.86780,39
8a28308a8227fff,-122.24794,37.86365,105
8a2830970797fff,-122.45405,37.66233,41
8a283082bd37fff,-122.41015,37.78606,194
8a28308280affff,-122.41596,37.77531,61
8a2830976627fff,-122.43050,37.66362,31
8a283097521ffff,-122.49370,37.65468,46
8a28308f40b7fff,-122.31765,37.88476,26
8a28308286effff,-122.41616,37.78491,26
8a28309466affff,-122.47604,37.70231,150
8a283082aae7fff,-122.41660,37.78294,38
8a28308a9d97fff,-122.26338,37.86634,29
8a283097381ffff,-122.50334,37.74650,26
8a283082bcaffff,-122.41211,37.79232,44
8a283082e637fff,-122.38929,37.77321,71
8a2830973b97fff,-122.46400,37.69641,51
8a28308280c7fff,-122.41852,37.77923,36
8a283092eb5ffff,-122.40066,37.60222,34
8a28308c298ffff,-122.33024,37.95169,26
8a283097531ffff,-122.49370,37.65468,39
8a283082b6f7fff,-122.41103,37.80909,31
8a283098d3affff,-122.24442,37.74619,29
8a283082878ffff,-122.41211,37.78201,78
8a2830971487fff,-122.47721,37.67379,37
8a2830971487fff,-122.45958,37.64809,26
8a2830929877fff,-122.43711,37.62388,66
8a283092eb57fff,-122.41251,37.60889,27
8a283082aa17fff,-122.41353,37.78859,30
8a283082898ffff,-122.41873,37.76672,42
8a28308595affff,-122.49919,37.93533,112
8a2830812377fff,-122.37686,37.91332,27
8a28309aa917fff,-122.09104,37.86187,26
8a28309466affff,-122.49572,37.73151,36
8a28309466affff,-122.46554,37.63441,34
8a283082c117fff,-122.41488,37.74955,900
8a28308a821ffff,-122.25613,37.86444,64
8a28308c3c9ffff,-122.35304,37.97141,42
8a28308a831ffff,-122.25462,37.87377,39
8a283082e0d7fff,-122.38462,37.76108,85
8a28309466affff,-122.45509,37.69692,31
8a28308a9caffff,-122.26981,37.86877,60
8a283082b9b7fff,-122.41644,37.78631,48
8a283082aae7fff,-122.39765,37.78958,50
8a283082a987fff,-122.38929,37.77321,113
8a28308a839ffff,-122.26338,37.86634,30
8a283097381ffff,-122.44811,37.65801,67
8a28309506affff,-122.43359,37.72198,30
8a283095531ffff,-122.47966,37.72626,26
8a2830ba6847fff,-122.54136,37.93644,35
8a28342dd62ffff,-122.48465,37.57403,51
8a283092e2affff,-122.36725,37.59755,35
8a283092051ffff,-122.34479,37.57530,30
8a28308a831ffff,-122.25613,37.86444,139
8a2830972b2ffff,-122.48207,37.66068,42
8a283095c027fff,-122.46481,37.72930,27
8a28309ab71ffff,-122.23712,37.73267,84
8a28308a82e7fff,-122.25920,37.86223,33
8a283092baeffff,-122.40391,37.62304,27
8a283085d52ffff,-122.51183,37.89716,39
8a28308597b7fff,-122.49583,37.91724,48
8a2830973b67fff,-122.47721,37.67379,58
8a283081e1b7fff,-122.28468,37.83210,29
8a28308a9d17fff,-122.26786,37.86574,62
8a2830973947fff,-122.47880,37.66741,31
8a28342dd627fff,-122.47072,37.58803,40
8a283085db1ffff,-122.53304,37.89743,47
8a283092eb0ffff,-122.39017,37.57756,34
8a28308286e7fff,-122.41496,37.78315,54
8a283081008ffff,-122.27079,37.80909,44
8a28308286a7fff,-122.41211,37.78201,54
8a283095596ffff,-122.47491,37.69607,36
8a283095c027fff,-122.50334,37.74650,40
8a2830970417fff,-122.44811,37.65801,29
8a28308430effff,-122.54663,37.87899,27
8a28308a8207fff,-122.25613,37.86444,42
8a28308a8307fff,-122.25690,37.86703,324
8a283097592ffff,-122.48295,37.60741,36
8a283085959ffff,-122.49919,37.93533,45
8a28308a8a1ffff,-122.26181,37.86379,45
8a283082e00ffff,-122.39585,37.76383,26
8a28308286f7fff,-122.41496,37.78315,91
8a283082aa17fff,-122.41964,37.78541,26
8a28308a8347fff,-122.25462,37.87377,33
8a283095589ffff,-122.48291,37.69835,33
8a283082d2effff,-122.45204,37.76987,33
8a283082ab67fff,-122.40985,37.78011,101
8a28308ab927fff,-122.25462,37.87377,64
8a28308a9517fff,-122.26786,37.86574,26
8a283097086ffff,-122.47058,37.65359,26
8a28309466affff,-122.49618,37.71987,60
8a28308a9577fff,-122.26728,37.87568,42
8a283082bc6ffff,-122.41987,37.79176,36
8a283082bc27fff,-122.41353,37.78859,44
8a283085d52ffff,-122.45764,37.88580,27
8a28309466affff,-122.43135,37.65734,30
8a283092ba1ffff,-122.44401,37.65258,46
8a283095589ffff,-122.44365,37.70473,34
8a28308288effff,-122.42436,37.76776,29
8a283092ba1ffff,-122.40426,37.61540,60
8a2830972907fff,-122.44323,37.66261,34
8a2830971c07fff,-122.48841,37.66692,110
8a28308a8ad7fff,-122.26338,37.86634,53
8a28342c0a57fff,-122.50768,37.55078,33
8a2830972b37fff,-122.43050,37.66362,30
8a283082b157fff,-122.41926,37.79457,27
8a28308a8327fff,-122.26181,37.86379,41
8a2830971487fff,-122.48173,37.67331,27
8a283080cb67fff,-122.40967,37.80276,87
8a283092a36ffff,-122.37841,37.62075,31
8a283097478ffff,-122.45745,37.64058,29
8a28309702dffff,-122.48841,37.66692,26
8a283092a897fff,-122.45597,37.64585,37
8a283097381ffff,-122.46554,37.63441,60
8a28308a9517fff,-122.26338,37.86634,28
8a2830828077fff,-122.42003,37.77143,27
8a2830828087fff,-122.41596,37.77531,33
8a2830946627fff,-122.48291,37.69835,145
8a283097479ffff,-122.45597,37.64585,66
8a28308c44effff,-122.34517,37.92756,32
8a28308a8257fff,-122.26181,37.86379,35
8a283082985ffff,-122.45072,37.77991,53
8a283082e707fff,-122.38929,37.77321,61
8a28308433b7fff,-122.52625,37.86736,49
8a28309468a7fff,-122.48814,37.68637,31
8a28309714affff,-122.46668,37.64491,26
8a283092a897fff,-122.43201,37.61420,36
8a283092eb0ffff,-122.40749,37.59498,69
8a283081e1b7fff,-122.27952,37.84062,31
8a28308a9c1ffff,-122.26981,37.86877,37
8a283082abaffff,-122.40192,37.78264,33
8a283082ab67fff,-122.40801,37.78181,36
8a283097381ffff,-122.43135,37.65734,54
8a283092e2affff,-122.47880,37.66741,33
8a283095c027fff,-122.48998,37.74335,49
8a283085d85ffff,-122.54663,37.87899,30
8a283082d79ffff,-122.43418,37.76617,31
8a2830975207fff,-122.49370,37.65468,117
8a2830942357fff,-122.49618,37.71987,52
8a283092ba1ffff,-122.40460,37.66353,32
8a283092e937fff,-122.38448,37.59279,36
8a283092166ffff,-122.36725,37.59755,36
8a28308a830ffff,-122.26006,37.86723,352
8a283097469ffff,-122.45958,37.64809,44
8a28308a8257fff,-122.25920,37.86223,50
8a28308a8277fff,-122.26981,37.86877,33
8a28308a821ffff,-122.26217,37.87622,28
8a283097592ffff,-122.48465,37.57403,44
8a283081432ffff,-122.28065,37.77855,101
8a28309466affff,-122.46697,37.71145,69
8a2830955a87fff,-122.47491,37.69607,28
8a28308f0c67fff,-122.31679,37.90644,46
8a283082bd07fff,-122.41115,37.78722,80
8a28308a9cd7fff,-122.25690,37.86703,28
8a283082ab1ffff,-122.40192,37.78264,26
8a28308a830ffff,-122.25462,37.87377,56
8a28308a9d87fff,-122.26338,37.86634,35
8a28309702dffff,-122.47631,37.67876,32
8a2830946817fff,-122.49651,37.68232,40
